№,Секунда,Микросекунда
1,52,803155
2,52,803155
3,52,803155
4,52,803155
5,52,803155
6,52,803155
7,52,803155
8,52,803155
9,52,803155
10,52,803155
11,52,803155
12,52,803155
13,52,803155
14,52,803155
15,52,803155
16,52,803155
17,52,803155
18,52,803155
19,52,803155
20,52,803155
21,52,803155
22,52,803155
23,52,803155
24,52,803155
25,52,803155
26,52,803155
27,52,803155
28,52,803155
29,52,803155
30,52,803155
31,52,803155
32,52,803155
33,52,803155
34,52,803155
35,52,803155
36,52,803155
37,52,803155
38,52,803155
39,52,803155
40,52,803155
41,52,803155
42,52,803155
43,52,803155
44,52,803155
45,52,803155
46,52,803155
47,52,803155
48,52,803155
49,52,803155
50,52,803155
51,52,803155
52,52,803155
53,52,803155
54,52,803155
55,52,803155
56,52,803155
57,52,803155
58,52,803155
59,52,803155
60,52,803155
61,52,803155
62,52,803155
63,52,803155
64,52,803155
65,52,803155
66,52,803155
67,52,803155
68,52,803155
69,52,803155
70,52,803155
71,52,803155
72,52,803155
73,52,803155
74,52,803155
75,52,803155
76,52,803155
77,52,803155
78,52,803155
79,52,803155
80,52,803155
81,52,803155
82,52,803155
83,52,803155
84,52,803155
85,52,803155
86,52,803155
87,52,803155
88,52,803155
89,52,803155
90,52,803155
91,52,803155
92,52,803155
93,52,803155
94,52,803155
95,52,803155
96,52,803155
97,52,803155
98,52,803155
99,52,803155
100,52,803155
101,52,803155
102,52,803155
103,52,803155
104,52,803155
105,52,803155
106,52,803155
107,52,803155
108,52,803155
109,52,803155
110,52,803155
111,52,803155
112,52,803155
113,52,803155
114,52,803155
115,52,803155
116,52,803155
117,52,803155
118,52,803155
119,52,803155
120,52,803155
121,52,803155
122,52,803155
123,52,803155
124,52,803155
125,52,803155
126,52,803155
127,52,803155
128,52,803155
129,52,803155
130,52,803155
131,52,803155
132,52,803155
133,52,803155
134,52,803155
135,52,803155
136,52,803155
137,52,803155
138,52,803155
139,52,803155
140,52,803155
141,52,803155
142,52,803155
143,52,803155
144,52,803155
145,52,803155
146,52,803155
147,52,803155
148,52,803155
149,52,803155
150,52,803155
151,52,803155
152,52,803155
153,52,803155
154,52,803155
155,52,803155
156,52,803155
157,52,803155
158,52,803155
159,52,803155
160,52,803155
161,52,803155
162,52,803155
163,52,803155
164,52,803155
165,52,803155
166,52,803155
167,52,803155
168,52,803155
169,52,803155
170,52,803155
171,52,803155
172,52,803155
173,52,803155
174,52,803155
175,52,803155
176,52,803155
177,52,803155
178,52,803155
179,52,803155
180,52,803155
181,52,803155
182,52,803155
183,52,803155
184,52,803155
185,52,803155
186,52,803155
187,52,803155
188,52,803155
189,52,803155
190,52,803155
191,52,803155
192,52,803155
193,52,803155
194,52,803155
195,52,803155
196,52,803155
197,52,803155
198,52,803155
199,52,803155
200,52,803155
201,52,803155
202,52,803155
203,52,803155
204,52,803155
205,52,803155
206,52,803155
207,52,803155
208,52,803155
209,52,803155
210,52,803155
211,52,803155
212,52,803155
213,52,803155
214,52,803155
215,52,803155
216,52,803155
217,52,803155
218,52,803155
219,52,803155
220,52,803155
221,52,803155
222,52,803155
223,52,803155
224,52,803155
225,52,803155
226,52,803155
227,52,803155
228,52,803155
229,52,803155
230,52,803155
231,52,803155
232,52,803155
233,52,803155
234,52,803155
235,52,803155
236,52,803155
237,52,803155
238,52,803155
239,52,803155
240,52,803155
241,52,803155
242,52,803155
243,52,803155
244,52,803155
245,52,803155
246,52,803155
247,52,803155
248,52,803155
249,52,803155
250,52,803155
251,52,803155
252,52,803155
253,52,803155
254,52,803155
255,52,803155
256,52,803155
257,52,803155
258,52,803155
259,52,803155
260,52,803155
261,52,803155
262,52,803155
263,52,803155
264,52,803155
265,52,803155
266,52,803155
267,52,803155
268,52,803155
269,52,803155
270,52,803155
271,52,803155
272,52,803155
273,52,803155
274,52,803155
275,52,803155
276,52,803155
277,52,803155
278,52,803155
279,52,803155
280,52,803155
281,52,803155
282,52,803155
283,52,803155
284,52,803155
285,52,803155
286,52,803155
287,52,803155
288,52,803155
289,52,803155
290,52,803155
291,52,803155
292,52,803155
293,52,803155
294,52,803155
295,52,803155
296,52,803155
297,52,803155
298,52,803155
299,52,803155
300,52,803155
